,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches,-9999
525,Pedro Perotti,br BRA,FW,Chapecoense,28-208,1997,2,20,10,1.3,0.2,0,,0,2,10,1,1.00,0,0,0,0.00,+0.95,Matches,c319dd64
526,Josué Pesqueira,pt POR,MF,Coritiba,35-274,1990,17,1265,74,78.1,14.1,16,78,6,1,12,0,1.35,20,19,+1,+0.07,+0.32,Matches,c08fc464
527,Neto Pessoa,br BRA,FW,Chapecoense,32-033,1994,8,208,26,13.6,2.3,1,83,0,7,18,4,0.13,3,6,-3,-1.30,-0.41,Matches,f44f1b74
528,Leonel Picco,ar ARG,MF,Remo,26-239,1999,15,693,46,42.8,7.7,8,72,2,7,17,2,1.13,7,10,-3,-0.39,+0.10,Matches,f4187ac3
529,Yago Pikachu,br BRA,MF,Remo,34-013,1992,17,926,54,57.2,10.3,10,75,3,7,25,0,1.00,12,15,-3,-0.29,+0.36,Matches,462f1e13
530,Joaquín Piquerez,uy URU,DF,Palmeiras,27-298,1998,6,461,77,28.5,5.1,5,88,3,1,21,2,2.67,12,5,+7,+1.37,+0.59,Matches,46009f44
531,Rafael Pires,br BRA,GK,São Paulo,36-360,1989,18,1620,90,100.0,18.0,18,90,18,0,,0,1.39,23,20,+3,+0.17,,Matches,539f6761
532,Marcelo Pitaluga,br BRA,GK,Fluminense,23-180,2002,0,,,,,0,,0,0,,4,,,,,,,Matches,b3cafda8
533,Lucas Piton,br BRA,DF,Vasco da Gama,25-252,2000,13,815,63,50.3,9.1,10,73,2,3,28,4,1.00,9,15,-6,-0.66,-0.55,Matches,defce7f1
534,Isidro Pitta,py PAR,FW,RB Bragantino,26-308,1999,17,1141,67,70.4,12.7,13,81,6,4,21,0,1.53,19,13,+6,+0.47,+0.47,Matches,e9fc7295
535,Gonzalo Plata,ec ECU,MF,Flamengo,25-229,2000,10,562,56,36.7,6.2,6,82,3,4,18,4,2.20,12,5,+7,+1.12,+0.38,Matches,54bcdeb0
536,Mateo Ponte,uy URU,DFMF,Botafogo–RJ,23-025,2003,8,580,73,37.9,6.4,6,81,4,2,47,4,1.38,14,11,+3,+0.47,+0.75,Matches,981e61c1
537,Gabriel Poveda,br BRA,FW,Remo,27-346,1998,10,150,15,9.3,1.7,1,55,0,9,11,2,1.40,3,2,+1,+0.60,+1.15,Matches,1ae3dd4e
538,Fernando Pradella,br BRA,FW,Santos,17-350,2008,1,14,14,0.9,0.2,0,,0,1,14,0,0.00,0,2,-2,-12.86,-12.80,Matches,a471bfdf
539,Gustavo Prado,br BRA,MF,Internacional,21-012,2005,0,,,,,0,,0,0,,2,,,,,,,Matches,511bad81
540,Kauã Prates,br BRA,DF,Cruzeiro,17-310,2008,1,8,8,0.5,0.1,0,,0,1,8,11,0.00,0,0,0,0.00,+0.22,Matches,6ecfd382
541,Ángelo Preciado,ec ECU,MFDF,Atlético Mineiro,28-120,1998,7,375,54,23.1,4.2,4,76,1,3,24,7,1.00,2,4,-2,-0.48,-0.55,Matches,eadc8e4f
542,Erick Pulga,br BRA,FWMF,Bahia,25-259,2000,17,1165,69,76.1,12.9,16,71,2,1,33,0,1.53,16,20,-4,-0.31,-1.79,Matches,56088230
543,Erick Pulgar,cl CHI,MF,Flamengo,32-154,1994,8,643,80,42.0,7.1,8,80,5,0,,1,2.00,15,6,+9,+1.26,+0.65,Matches,4611e028
544,Igor Rabello,br BRA,DF,Fluminense,31-051,1995,0,,,,,0,,0,0,,16,,,,,,,Matches,48048864
545,Zé Rafael,br BRA,MF,Santos,33-002,1993,5,165,33,10.2,1.8,2,73,0,3,6,3,1.00,3,3,0,0.00,+0.19,Matches,634b1413
546,André Ramalho,br BRA,DF,Corinthians,34-122,1992,6,466,78,28.8,5.2,5,90,5,1,16,11,0.83,3,7,-4,-0.77,-1.01,Matches,7483d9f9
547,Eric Ramires,br BRA,MF,RB Bragantino,25-312,2000,11,319,29,19.7,3.5,2,75,0,9,19,4,1.73,7,3,+4,+1.13,+0.99,Matches,37faa4cb
548,Kevin Ramírez,uy URU,FWMF,Chapecoense,32-078,1994,2,83,42,5.4,0.9,0,,0,2,42,0,0.00,0,2,-2,-2.17,-1.30,Matches,1c7e10b1
549,Ramon,br BRA,DF,Vitória,25-097,2001,14,1195,85,78.1,13.3,14,85,10,0,,1,1.36,17,20,-3,-0.23,+0.04,Matches,fdf88bc0
550,Lucas Ramon,br BRA,DF,São Paulo,32-103,1994,12,981,82,60.6,10.9,12,82,8,0,,0,1.50,14,9,+5,+0.46,+0.74,Matches,58933a04
551,Vitor Ramon,br BRA,DF,Grêmio,18-154,2008,1,31,31,1.9,0.3,0,,0,1,31,1,1.00,1,1,0,0.00,+0.17,Matches,c557340b
552,Chris Ramos,es ESP,FWMF,Botafogo–RJ,29-153,1997,3,20,7,1.3,0.2,0,,0,3,7,1,0.67,2,1,+1,+4.50,+4.56,Matches,44e07fac
553,Santi Ramos Mingo,ar ARG,DF,Bahia,24-209,2001,15,1350,90,88.2,15.0,15,90,15,0,,1,1.67,22,19,+3,+0.20,+0.70,Matches,fe0a346d
554,Marcelo Rangel,br BRA,GK,Remo,38-032,1988,17,1530,90,94.4,17.0,17,90,17,0,,0,0.88,20,29,-9,-0.53,-1.53,Matches,c293dc73
555,Pedro Rangel,br BRA,GK,Coritiba,25-354,2000,15,1295,86,79.9,14.4,14,90,14,1,35,2,1.47,19,19,0,0.00,0.00,Matches,06dc2861
556,Raniele,br BRA,MFDF,Corinthians,29-169,1996,16,1225,77,75.6,13.6,15,80,8,1,23,1,1.50,15,13,+2,+0.15,+0.83,Matches,a025365f
557,Raul,br BRA,MF,Athletico–PR,29-342,1996,0,,,,,0,,0,0,,1,,,,,,,Matches,c2f9cf65
558,Pedro Raul,br BRA,FW,Corinthians,29-225,1996,8,167,21,10.3,1.9,1,77,0,7,13,9,0.63,1,2,-1,-0.54,-0.54,Matches,ed074559
559,Raykkonen,br BRA,FW,Internacional,17-340,2008,1,1,1,0.1,0.0,0,,0,1,1,0,0.00,0,0,0,0.00,+0.06,Matches,3114f93a
560,Reinaldo,br BRA,DFMF,Mirassol,36-263,1989,14,1146,82,74.9,12.7,14,82,9,0,,0,0.93,14,16,-2,-0.16,+0.78,Matches,ab3edc87
561,Reinier,br BRA,FW,Atlético Mineiro,24-150,2002,14,622,44,38.4,6.9,7,73,0,7,16,4,1.29,7,8,-1,-0.14,-0.14,Matches,6b21b7b5
562,Gustavo Reis,br BRA,GK,RB Bragantino,21-008,2005,0,,,,,0,,0,0,,5,,,,,,,Matches,5023822e
563,Renan,br BRA,FW,Athletico–PR,26-117,2000,8,99,12,6.1,1.1,1,72,0,7,4,6,1.63,2,1,+1,+0.91,+0.61,Matches,8a24d403
564,Robert Renan,br BRA,DF,Vasco da Gama,22-250,2003,18,1620,90,100.0,18.0,18,90,18,0,,0,1.11,22,29,-7,-0.39,,Matches,168a2e81
565,Renê,br BRA,DF,Fluminense,33-277,1992,11,837,76,51.7,9.3,9,88,6,2,25,7,1.64,14,12,+2,+0.22,-0.13,Matches,d000ffc7
566,Rezende,br BRA,DFMF,Bahia,31-167,1995,0,,,,,0,,0,0,,1,,,,,,,Matches,dfddb0f9
567,Murilo Rhikman,br BRA,MF,Cruzeiro,20-097,2006,1,3,3,0.2,0.0,0,,0,1,3,1,0.00,0,0,0,0.00,+0.22,Matches,9e91b234
568,Davi Fernandes Cavalcane Ribeiro,br BRA,,Santos,17-326,2008,2,17,9,1.0,0.2,0,,0,2,9,0,1.50,0,0,0,0.00,+0.17,Matches,77910da9
569,Everton Ribeiro,br BRA,MF,Bahia,37-069,1989,13,949,73,62.0,10.5,11,78,4,2,45,0,1.46,16,12,+4,+0.38,+0.69,Matches,68fb50a2
570,Zé Ricardo,br BRA,MF,Remo,27-135,1999,16,904,57,55.8,10.0,11,75,3,5,16,0,0.88,12,14,-2,-0.20,+0.56,Matches,22b85604
571,Riccieli,br BRA,DF,Vitória,27-274,1998,2,90,45,5.9,1.0,2,45,0,0,,1,1.50,0,3,-3,-3.00,-2.94,Matches,9c026a2f
572,Charles Rigon Matos,br BRA,MF,Corinthians,29-364,1996,4,193,48,11.9,2.1,3,57,0,1,22,6,1.75,2,3,-1,-0.47,-0.47,Matches,6ff91a3a
573,Tomás Rincón,ve VEN,MF,Santos,38-156,1988,2,21,11,1.3,0.2,0,,0,2,11,7,1.00,0,1,-1,-4.29,-4.17,Matches,f1cfc209
574,Ramon Rique,br BRA,MF,Vasco da Gama,18-259,2007,2,18,9,1.1,0.2,0,,0,2,9,1,1.50,1,0,+1,+5.00,+5.45,Matches,feb455f7
