,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
81,Fabrício Bruno,br BRA,DF,Cruzeiro,30-126,1996,17,17,1522,16.9,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,470d197b
82,Kaiki Bruno,br BRA,DF,Cruzeiro,23-102,2003,16,16,1416,15.7,0,2,2,0,0,0,1,1,0.00,0.13,0.13,0.00,0.13,Matches,1a36e9cb
83,Vitor Bueno,br BRA,MFFW,Remo,31-286,1994,11,10,748,8.3,2,2,4,2,0,0,0,0,0.24,0.24,0.48,0.24,0.48,Matches,5752f96d
84,Gustavo Caballero,py PAR,FW,Santos,24-270,2001,1,1,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,90a38ca7
85,Arthur Cabral,br BRA,FW,Botafogo–RJ,28-054,1998,15,15,1211,13.5,7,1,8,7,0,0,3,0,0.52,0.07,0.59,0.52,0.59,Matches,a820e429
86,Cacá,br BRA,DF,Vitória,27-054,1999,12,12,1064,11.8,1,0,1,1,0,0,3,0,0.08,0.00,0.08,0.08,0.08,Matches,27f4a416
87,Victor Caetano,br BRA,DF,Chapecoense,28-242,1997,8,8,647,7.2,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,82a12c6d
88,Jonathan Calleri,ar ARG,FW,São Paulo,32-268,1993,16,15,1349,15.0,6,1,7,5,1,1,3,0,0.40,0.07,0.47,0.33,0.40,Matches,6922f806
89,Camilo,br BRA,MF,Chapecoense,27-115,1999,14,14,1170,13.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,dfb81359
90,Juan Camilo Portilla,co COL,MF,Athletico–PR,27-279,1998,15,11,794,8.8,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,ad49f7fb
91,Camutanga,br BRA,DF,Vitória,32-264,1993,8,7,599,6.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c455a045
