,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
300,Renzo López,uy URU,FW,Vitória,32-063,1994,6,1,134,1.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,675cf0be
301,Lucas,br BRA,MF,Vitória,26-295,1999,4,0,28,0.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,7a3d0687
302,Ayrton Lucas,br BRA,DF,Flamengo,28-364,1997,9,4,424,4.7,0,1,1,0,0,0,0,0,0.00,0.21,0.21,0.00,0.21,Matches,db90b737
303,Jean Lucas,br BRA,MF,Bahia,27-361,1998,15,15,1191,13.2,2,2,4,2,0,0,2,0,0.15,0.15,0.30,0.15,0.30,Matches,a99138af
304,João Lucas,br BRA,DF,Remo,28-101,1998,6,6,482,5.4,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,289dc81e
305,Luciano,br BRA,MFFW,São Paulo,33-031,1993,14,12,973,10.8,6,1,7,6,0,1,3,0,0.55,0.09,0.65,0.55,0.65,Matches,24ce161c
306,Luighi,br BRA,FW,Palmeiras,20-049,2006,7,1,165,1.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,f6202ded
307,André Luis,br BRA,FW,Mirassol,32-101,1994,11,5,450,5.0,1,0,1,1,0,0,1,0,0.20,0.00,0.20,0.20,0.20,Matches,2962bf2e
308,Victor Luis,br BRA,DF,Mirassol,32-360,1993,7,3,329,3.7,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,cc68c4d3
309,Wallisson Luiz,br BRA,MF,Coritiba,28-268,1997,12,4,435,4.8,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,8b35dc4b
310,Lyanco,br BRA,DF,Atlético Mineiro,29-137,1997,7,5,454,5.0,0,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,Matches,b5bf1770
311,Willian Machado,br BRA,DF,Mirassol,29-217,1996,15,15,1350,15.0,1,1,2,1,0,0,3,0,0.07,0.07,0.13,0.07,0.13,Matches,afb23fa3
312,Pablo Maia,br BRA,MF,São Paulo,24-159,2002,10,5,515,5.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,3a243771
313,Thiago Maia,br BRA,MF,Internacional,29-087,1997,10,0,147,1.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,91e58f66
314,Maicon,br BRA,DF,Coritiba,37-277,1988,13,12,1019,11.3,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches,2a8683b9
315,Maik,br BRA,DFMF,São Paulo,21-166,2005,5,4,368,4.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f11cb3b7
316,Alef Manga,br BRA,MFFW,Remo,31-201,1994,18,16,1327,14.7,4,3,7,4,0,1,1,0,0.27,0.20,0.47,0.27,0.47,Matches,559782c4
317,Fernando Marçal,br BRA,DF,Botafogo–RJ,37-119,1989,4,1,144,1.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9ae9eaea
318,Marcelinho,br BRA,MF,RB Bragantino,21-306,2004,4,1,191,2.1,0,1,1,0,0,0,0,0,0.00,0.47,0.47,0.00,0.47,Matches,61234a52
319,Marcelinho,br BRA,DFMF,Remo,27-333,1998,15,13,1204,13.4,2,0,2,2,0,0,2,0,0.15,0.00,0.15,0.15,0.15,Matches,1d5d9dfd
320,João Marcelo,br BRA,DF,Cruzeiro,26-005,2000,5,3,296,3.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e18b8c9e
321,Marcinho,br BRA,FWMF,Chapecoense,31-010,1995,16,11,808,9.0,1,1,2,1,0,0,0,0,0.11,0.11,0.22,0.11,0.22,Matches,5465c7f9
322,Zé Marcos,br BRA,DF,Vitória,28-137,1998,2,2,158,1.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,7b9ab588
323,Marinho,br BRA,FW,Vitória,36-020,1990,7,2,154,1.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c077c735
324,Marlon,br BRA,DF,Grêmio,29-029,1997,6,6,525,5.8,1,1,2,1,0,0,1,0,0.17,0.17,0.34,0.17,0.34,Matches,63969d01
325,Gustavo Marques,br BRA,DF,RB Bragantino,24-252,2001,16,15,1355,15.1,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,b4fce835
326,Igor Marques,br BRA,DFMF,Mirassol,27-161,1999,14,13,1109,12.3,3,0,3,3,0,0,1,0,0.24,0.00,0.24,0.24,0.24,Matches,8b364abd
327,Lucca Marques,br BRA,MF,São Paulo,19-004,2007,4,1,114,1.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1d6ffbb1
328,Renato Marques,br BRA,FW,Mirassol,22-191,2003,1,1,62,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,838d1215
329,Renato Marques,br BRA,FW,Coritiba,22-191,2003,5,0,63,0.7,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches,838d1215
330,Marquinhos,br BRA,DF,Botafogo–RJ,19-123,2007,1,0,9,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5fb8eee5
331,Martinelli,br BRA,MF,Fluminense,25-039,2001,12,12,941,10.5,0,1,1,0,0,0,3,0,0.00,0.10,0.10,0.00,0.10,Matches,2b124c8c
332,Emiliano Martínez,uy URU,MF,Palmeiras,26-305,1999,6,2,235,2.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,52061089
333,Andre Martins,br BRA,MF,Grêmio,24-183,2001,5,0,107,1.2,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,56224aa6
334,David Martins,br BRA,MF,Bahia,18-276,2007,2,0,11,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b211048f
335,Matheus Martins,br BRA,MFFW,Botafogo–RJ,22-337,2003,15,9,821,9.1,4,0,4,4,0,0,1,0,0.44,0.00,0.44,0.44,0.44,Matches,73fd2787
336,Gustavo Martins Santos,br BRA,DF,Grêmio,23-311,2002,11,9,894,9.9,0,2,2,0,0,0,3,0,0.00,0.20,0.20,0.00,0.20,Matches,ae03ce49
337,Matheusinho,br BRA,FWMF,Vitória,28-243,1997,16,14,1022,11.4,2,1,3,1,1,1,3,0,0.18,0.09,0.26,0.09,0.18,Matches,91c2ee76
338,Matheusinho,br BRA,DF,Vitória,27-254,1998,2,1,135,1.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,97bb4fdd
339,Matheuzinho,br BRA,DF,Corinthians,25-283,2000,14,13,1161,12.9,1,1,2,1,0,0,3,1,0.08,0.08,0.16,0.08,0.16,Matches,2a5bc0cd
340,Mauricio,py PAR,MF,Palmeiras,25-027,2001,15,11,938,10.4,1,1,2,1,0,0,1,0,0.10,0.10,0.19,0.10,0.19,Matches,bf4cbc22
341,Maycon,br BRA,MF,Atlético Mineiro,28-338,1997,10,10,852,9.5,2,0,2,0,2,2,0,0,0.21,0.00,0.21,0.00,0.00,Matches,005ca692
342,Mayk,br BRA,DF,Remo,26-291,1999,10,10,892,9.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e7819596
343,Mayke,br BRA,DF,Santos,33-220,1992,3,3,219,2.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,47431289
344,Gabriel Mec,br BRA,MFFW,Grêmio,18-068,2008,14,6,643,7.1,2,0,2,2,0,0,3,0,0.28,0.00,0.28,0.28,0.28,Matches,f049a2fe
345,Cristian Medina,ar ARG,MF,Botafogo–RJ,24-017,2002,11,11,853,9.5,1,0,1,1,0,0,4,1,0.11,0.00,0.11,0.11,0.11,Matches,5a0d551b
346,Arthur Melo,br BRA,MF,Grêmio,29-310,1996,10,8,807,9.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,48b3dd60
347,Bruno Melo,br BRA,DF,Coritiba,33-235,1992,16,16,1281,14.2,1,1,2,1,0,0,1,1,0.07,0.07,0.14,0.07,0.14,Matches,41ee21ae
348,Eduardo Melo,br BRA,FW,Remo,25-036,2001,1,0,35,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5308c8ed
349,Memphis,nl NED,FW,Corinthians,32-125,1994,8,6,462,5.1,1,0,1,1,0,0,0,0,0.19,0.00,0.19,0.19,0.19,Matches,8f696594
350,Nathan Mendes,br BRA,DF,Vitória,23-303,2002,13,12,1061,11.8,0,1,1,0,0,0,3,0,0.00,0.08,0.08,0.00,0.08,Matches,c5aa7b35
351,Thiago Mendes,br BRA,MF,Vasco da Gama,34-095,1992,16,16,1340,14.9,3,1,4,3,0,0,6,0,0.20,0.07,0.27,0.20,0.27,Matches,c6e5d20f
352,Vinicius Mendonça,br BRA,MFFW,RB Bragantino,22-118,2004,8,3,288,3.2,0,1,1,0,0,0,0,0,0.00,0.31,0.31,0.00,0.31,Matches,47a333ad
353,Stiven Mendoza,co COL,MFFW,Athletico–PR,33-356,1992,18,18,1460,16.2,5,0,5,5,0,0,0,0,0.31,0.00,0.31,0.31,0.31,Matches,e68f2cb4
354,Gabriel Menegon,br BRA,GK,Grêmio,17-247,2008,1,0,12,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9334abf0
355,Gabriel Menino,br BRA,MF,Santos,25-262,2000,8,4,428,4.8,1,0,1,1,0,0,2,0,0.21,0.00,0.21,0.21,0.21,Matches,01819e70
356,Gabriel Mercado,ar ARG,DF,Internacional,39-092,1987,11,11,980,10.9,1,0,1,1,0,0,4,0,0.09,0.00,0.09,0.09,0.09,Matches,bf97c188
357,Higor Meritão,br BRA,MF,Chapecoense,31-360,1994,11,5,619,6.9,1,0,1,1,0,0,1,0,0.15,0.00,0.15,0.15,0.15,Matches,fb8b684d
358,Carlos Miguel,br BRA,GK,Palmeiras,27-252,1998,17,17,1530,17.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,84454067
359,Pedro Milans,uy URU,DF,Corinthians,24-086,2002,3,3,229,2.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e8732900
360,Julián Millán,co COL,DF,Fluminense,28-083,1998,3,3,270,3.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,a92e9820
361,Alan Minda,ec ECU,MF,Atlético Mineiro,23-035,2003,9,3,353,3.9,2,0,2,2,0,0,0,0,0.51,0.00,0.51,0.51,0.51,Matches,9cfd5b00
362,Moises,br BRA,MF,Santos,29-289,1996,13,4,376,4.2,2,1,3,2,0,0,0,0,0.48,0.24,0.72,0.48,0.72,Matches,ddd07a25
363,Rodrigo Moledo,br BRA,DF,Coritiba,38-234,1987,2,1,117,1.3,1,0,1,1,0,0,0,0,0.77,0.00,0.77,0.77,0.77,Matches,ce536c37
364,Miguel Monsalve,co COL,MF,Grêmio,22-111,2004,7,5,322,3.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,a2f7f47c
365,Rafael Monti,ar ARG,FW,Remo,26-192,1999,1,0,21,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ad83cba8
366,Álvaro Montoro,ar ARG,MFFW,Botafogo–RJ,19-062,2007,15,11,921,10.2,0,3,3,0,0,0,3,0,0.00,0.29,0.29,0.00,0.29,Matches,4c55ed86
367,Kauã Moraes,br BRA,DF,Cruzeiro,19-354,2006,9,5,441,4.9,2,1,3,2,0,0,2,0,0.41,0.20,0.61,0.41,0.61,Matches,936f721d
368,Breno de Moraes Souza,br BRA,DF,RB Bragantino,17-358,2008,2,0,10,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e2982c0b
369,Santiago Moreno,co COL,FWMF,Fluminense,26-058,2000,3,0,21,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3261d0e4
370,Pedro Morisco,br BRA,GK,Coritiba,22-159,2004,4,4,325,3.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,e5c4ba1f
371,Henry Mosquera,co COL,MFFW,RB Bragantino,24-215,2001,14,13,1061,11.8,0,3,3,0,0,0,3,0,0.00,0.25,0.25,0.00,0.25,Matches,be206004
372,Hugo Moura,br BRA,MF,Vasco da Gama,28-166,1998,11,7,582,6.5,1,0,1,1,0,0,0,0,0.15,0.00,0.15,0.15,0.15,Matches,14100165
373,Lucas Moura,br BRA,MFFW,São Paulo,33-309,1992,8,3,320,3.6,1,1,2,0,1,1,0,0,0.28,0.28,0.56,0.00,0.28,Matches,2b622f01
374,Neto Moura,br BRA,MF,Mirassol,29-316,1996,12,9,722,8.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,28fd3b9e
375,Juan Nardoni,ar ARG,MF,Grêmio,23-339,2002,11,10,730,8.1,1,1,2,1,0,0,1,0,0.12,0.12,0.25,0.12,0.25,Matches,e91c3cc9
376,Bruno Nascimento,br BRA,FWMF,Palmeiras,29-103,1997,1,0,6,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,46411d56
377,Bruno Nascimento,br BRA,MF,Cruzeiro,29-103,1997,9,1,223,2.5,0,1,1,0,0,0,0,0,0.00,0.40,0.40,0.00,0.40,Matches,46411d56
378,Wesley Natã,br BRA,FW,Fluminense,18-061,2008,1,0,15,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,7f451eb1
379,Natanael,br BRA,DFMF,Atlético Mineiro,24-164,2002,11,11,871,9.7,0,1,1,0,0,0,0,1,0.00,0.10,0.10,0.00,0.10,Matches,0b618504
380,Gui Negão,br BRA,FW,Corinthians,19-132,2007,5,1,113,1.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,8d835047
381,Felipe Negrucci,br BRA,DF,São Paulo,22-045,2004,1,0,11,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,784f2ef7
382,Negueba,br BRA,MFFW,Mirassol,26-197,1999,9,9,780,8.7,2,0,2,2,0,0,3,0,0.23,0.00,0.23,0.23,0.23,Matches,47c2829f
383,Neris,br BRA,DF,Vitória,34-001,1992,4,2,179,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f961d4c2
384,Rodrigo Nestor,br BRA,MF,Bahia,25-313,2000,10,3,377,4.2,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,c04ebe99
385,Neto,br BRA,GK,Botafogo–RJ,36-334,1989,10,10,854,9.5,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches,a9dc785c
386,Newton,br BRA,DF,Botafogo–RJ,26-098,2000,7,4,409,4.5,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,0c0c8329
387,Neymar,br BRA,MFFW,Santos,34-133,1992,8,8,683,7.6,4,2,6,3,1,1,5,0,0.53,0.26,0.79,0.40,0.66,Matches,69384e5d
388,Nicolas,br BRA,DF,São Paulo,19-071,2007,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3988393d
389,Saúl Ñíguez,es ESP,MF,Flamengo,31-209,1994,6,1,116,1.3,0,1,1,0,0,0,0,0,0.00,0.78,0.78,0.00,0.78,Matches,c14bc029
390,Nonato,br BRA,MF,Fluminense,28-107,1998,6,5,378,4.2,1,1,2,1,0,0,3,0,0.24,0.24,0.48,0.24,0.48,Matches,b91a6912
391,Erick Noriega,pe PER,MF,Grêmio,24-239,2001,13,11,947,10.5,1,1,2,1,0,0,2,0,0.10,0.10,0.19,0.10,0.19,Matches,fd8ce644
392,Jhuan Nunes Coelho,br BRA,FW,RB Bragantino,19-015,2007,1,0,7,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0dd86ceb
393,Christian Oliva,uy URU,MF,Santos,30-017,1996,12,9,789,8.8,0,2,2,0,0,0,0,0,0.00,0.23,0.23,0.00,0.23,Matches,d3b888e3
394,Lucas Oliveira,br BRA,DF,Mirassol,30-136,1996,7,5,419,4.7,1,0,1,1,0,0,2,0,0.21,0.00,0.21,0.21,0.21,Matches,96d8b3d1
395,Luis Osorio Messias de Oliveira,br BRA,DF,São Paulo,19-285,2006,2,1,137,1.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,7f0312fd
396,Cauly Oliveira Souza,br BRA,MFFW,São Paulo,30-276,1995,12,7,563,6.3,1,0,1,0,1,1,0,0,0.16,0.00,0.16,0.00,0.00,Matches,2b53f7a5
397,Cristian Olivera,uy URU,FWMF,Bahia,24-062,2002,16,12,956,10.6,1,1,2,1,0,0,1,0,0.09,0.09,0.19,0.09,0.19,Matches,079dc403
398,Leo Ortiz,br BRA,DF,Flamengo,30-166,1996,17,16,1350,15.0,1,1,2,1,0,0,0,0,0.07,0.07,0.13,0.07,0.13,Matches,53834fa2
399,Osvaldo,br BRA,FWMF,Vitória,39-068,1987,2,0,13,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,deb6b945
400,Otávio,br BRA,GK,Cruzeiro,20-173,2005,5,5,450,5.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,b23013d3
401,Otávio,br BRA,MF,Fluminense,32-045,1994,5,0,170,1.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,243f4a0b
402,Luiz Otávio,br BRA,DF,Mirassol,33-252,1992,1,0,6,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,35e4fc3a
403,João Othavio Basso,br BRA,DF,Santos,29-156,1997,2,0,47,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,86c79c42
404,Bruno Pacheco,br BRA,MFDF,Chapecoense,34-192,1991,9,8,720,8.0,0,3,3,0,0,0,1,0,0.00,0.37,0.37,0.00,0.37,Matches,9b7976e6
405,Luis Pacheco,br BRA,MF,Palmeiras,18-136,2008,3,1,68,0.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,ffba37be
406,Lucas Paquetá,br BRA,MF,Flamengo,28-295,1997,12,10,817,9.1,3,0,3,3,0,0,2,0,0.33,0.00,0.33,0.33,0.33,Matches,9b6f7fd5
407,Kauã Pascini,br BRA,DF,Atlético Mineiro,18-105,2008,4,1,120,1.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d0fcac4f
408,Patrick,br BRA,MF,Remo,33-324,1992,15,11,1026,11.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,92add14e
409,Alan Patrick,br BRA,MF,Internacional,35-036,1991,14,11,963,10.7,3,0,3,2,1,1,1,0,0.28,0.00,0.28,0.19,0.19,Matches,00672021
410,Patrick de Paula,br BRA,MF,Remo,26-283,1999,6,6,469,5.2,0,2,2,0,0,0,4,0,0.00,0.38,0.38,0.00,0.38,Matches,9f12fbb7
411,Paulinho,br BRA,MF,Internacional,29-161,1997,13,8,702,7.8,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,2d215840
412,Paulinho,br BRA,FWMF,Palmeiras,25-338,2000,5,0,85,0.9,2,0,2,2,0,0,1,0,2.12,0.00,2.12,2.12,2.12,Matches,53070b63
413,Caio Paulista,br BRA,DF,Grêmio,28-038,1998,7,3,408,4.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,701bb051
414,Gabriel Paulista,br BRA,DF,Corinthians,35-204,1990,14,14,1260,14.0,1,0,1,1,0,0,3,0,0.07,0.00,0.07,0.07,0.07,Matches,b7ca5c51
415,Vini Paulista,br BRA,MF,Coritiba,25-088,2001,18,6,705,7.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,b9e9b272
416,Joao Paulo,br BRA,DF,Chapecoense,28-349,1997,6,5,506,5.6,1,0,1,1,0,0,2,0,0.18,0.00,0.18,0.18,0.18,Matches,897b6f90
417,João Paulo,br BRA,GK,Bahia,30-354,1995,2,0,92,1.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,d0102ca0
418,Giovanni Pavani,br BRA,MF,Remo,29-209,1996,2,0,46,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f9954d5e
419,Cristian Pavón,ar ARG,DFMF,Grêmio,30-148,1996,16,14,1243,13.8,0,2,2,0,0,0,4,0,0.00,0.14,0.14,0.00,0.14,Matches,a664b026
420,Pedrinho,br BRA,MF,São Paulo,19-055,2007,2,0,51,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,10eb3647
421,Pedro,br BRA,FW,Flamengo,28-363,1997,17,16,1337,14.9,10,4,14,10,0,0,1,0,0.67,0.27,0.94,0.67,0.94,Matches,1ab6fad3
422,João Pedro Chermont,br BRA,DFMF,Coritiba,20-151,2006,11,7,669,7.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e987e031
423,João Pedro,br BRA,DF,Corinthians,22-169,2003,2,2,180,2.0,1,0,1,1,0,0,1,0,0.50,0.00,0.50,0.50,0.50,Matches,cd51f56f
424,João Pedro,br BRA,DF,Grêmio,29-215,1996,5,3,258,2.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,31d1ed52
425,João Pedro,br BRA,MF,Vasco da Gama,21-060,2005,2,0,35,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f065866a
426,Léo Pelé,br BRA,DF,Athletico–PR,30-104,1996,2,1,101,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,77980eb9
427,Andreas Pereira,br BRA,MF,Palmeiras,30-168,1996,17,17,1321,14.7,1,9,10,1,0,0,3,0,0.07,0.61,0.68,0.07,0.68,Matches,6639e500
428,Léo Pereira,br BRA,DF,Flamengo,30-138,1996,14,14,1229,13.7,1,0,1,1,0,0,6,0,0.07,0.00,0.07,0.07,0.07,Matches,bd247251
429,Matheus Pereira,br BRA,MF,Cruzeiro,30-044,1996,16,16,1402,15.6,3,2,5,3,0,0,8,0,0.19,0.13,0.32,0.19,0.32,Matches,b04ee927
430,Luan Peres Petroni,br BRA,DF,Santos,31-334,1994,15,13,1130,12.6,0,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,Matches,a5549ec1
431,Leonel Pérez,ar ARG,MF,Grêmio,21-313,2004,10,8,670,7.4,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,5c0eca35
432,Tomás Pérez,ar ARG,MF,Atlético Mineiro,20-296,2005,10,7,608,6.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,ae067682
433,Pedro Perotti,br BRA,FW,Chapecoense,28-208,1997,2,0,20,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c319dd64
434,Josué Pesqueira,pt POR,MF,Coritiba,35-274,1990,17,16,1265,14.1,1,7,8,0,1,1,2,1,0.07,0.50,0.57,0.00,0.50,Matches,c08fc464
435,Neto Pessoa,br BRA,FW,Chapecoense,32-033,1994,8,1,208,2.3,2,1,3,2,0,0,1,0,0.87,0.43,1.30,0.87,1.30,Matches,f44f1b74
436,Leonel Picco,ar ARG,MF,Remo,26-239,1999,15,8,693,7.7,1,1,2,1,0,0,2,0,0.13,0.13,0.26,0.13,0.26,Matches,f4187ac3
437,Yago Pikachu,br BRA,MF,Remo,34-013,1992,17,10,926,10.3,2,1,3,2,0,0,2,1,0.19,0.10,0.29,0.19,0.29,Matches,462f1e13
438,Joaquín Piquerez,uy URU,DF,Palmeiras,27-298,1998,6,5,461,5.1,0,1,1,0,0,0,0,0,0.00,0.20,0.20,0.00,0.20,Matches,46009f44
439,Rafael Pires,br BRA,GK,São Paulo,36-360,1989,18,18,1620,18.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,539f6761
440,Lucas Piton,br BRA,DF,Vasco da Gama,25-252,2000,13,10,815,9.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,defce7f1
441,Isidro Pitta,py PAR,FW,RB Bragantino,26-308,1999,17,13,1141,12.7,6,2,8,6,0,1,2,0,0.47,0.16,0.63,0.47,0.63,Matches,e9fc7295
442,Gonzalo Plata,ec ECU,MF,Flamengo,25-229,2000,10,6,562,6.2,2,2,4,2,0,0,1,0,0.32,0.32,0.64,0.32,0.64,Matches,54bcdeb0
443,Mateo Ponte,uy URU,DFMF,Botafogo–RJ,23-025,2003,8,6,580,6.4,0,1,1,0,0,0,3,0,0.00,0.16,0.16,0.00,0.16,Matches,981e61c1
444,Gabriel Poveda,br BRA,FW,Remo,27-346,1998,10,1,150,1.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1ae3dd4e
445,Fernando Pradella,br BRA,FW,Santos,17-350,2008,1,0,14,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a471bfdf
446,Kauã Prates,br BRA,DF,Cruzeiro,17-310,2008,1,0,8,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,6ecfd382
447,Ángelo Preciado,ec ECU,MFDF,Atlético Mineiro,28-120,1998,7,4,375,4.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,eadc8e4f
448,Erick Pulga,br BRA,FWMF,Bahia,25-259,2000,17,16,1165,12.9,0,1,1,0,0,0,2,0,0.00,0.08,0.08,0.00,0.08,Matches,56088230
449,Erick Pulgar,cl CHI,MF,Flamengo,32-154,1994,8,8,643,7.1,1,0,1,1,0,0,4,1,0.14,0.00,0.14,0.14,0.14,Matches,4611e028
450,Zé Rafael,br BRA,MF,Santos,33-002,1993,5,2,165,1.8,1,1,2,1,0,0,1,0,0.55,0.55,1.09,0.55,1.09,Matches,634b1413
451,André Ramalho,br BRA,DF,Corinthians,34-122,1992,6,5,466,5.2,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,7483d9f9
452,Eric Ramires,br BRA,MF,RB Bragantino,25-312,2000,11,2,319,3.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,37faa4cb
453,Kevin Ramírez,uy URU,FWMF,Chapecoense,32-078,1994,2,0,83,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1c7e10b1
454,Ramon,br BRA,DF,Vitória,25-097,2001,14,14,1195,13.3,2,0,2,2,0,0,3,0,0.15,0.00,0.15,0.15,0.15,Matches,fdf88bc0
